4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
30508.42,29138.36,-92.3,-10.0,17.0,57.6
35036.65,29104.43,-98.6,-9.9,16.2,64.8
29958.21,31201.64,-96.9,-9.1,16.3,65.8
26721.52,24350.59,-97.7,-12.7,7.6,96.8
30632.00,22794.14,-98.8,-13.7,7.0,99.6
26508.26,20218.19,-102.7,-13.7,4.1,94.4
17998.40,26581.92,-95.4,-11.0,21.0,38.0
19806.32,40505.45,-91.5,-11.8,20.6,44.4
38437.38,38535.84,-92.5,-12.0,20.8,32.4
38447.86,34279.63,-92.3,-11.4,19.8,32.8
34440.00,37784.56,-91.8,-12.9,16.5,40.0
38395.82,41672.23,-92.8,-14.3,18.3,38.7
40245.51,43836.71,-92.7,-11.3,19.6,35.6
40553.65,42965.24,-91.0,-13.2,20.9,36.4
42313.51,42646.78,-90.0,-13.5,21.4,44.4
23094.40,46639.77,-87.7,-12.6,19.2,44.8
42332.98,47987.71,-91.1,-15.2,20.7,43.2
46199.38,48967.00,-82.8,-15.8,23.1,50.4
46194.38,42911.85,-89.7,-13.3,18.2,46.2
46192.30,42532.46,-89.5,-12.4,19.1,48.4
42118.90,46746.42,-93.1,-13.0,21.3,51.2
42351.55,48897.51,-95.6,-14.0,19.1,61.6
50098.71,50757.52,-101.6,-17.7,13.9,77.3
46213.76,47346.14,-100.4,-14.1,17.3,60.8
47606.44,28396.44,-94.9,-14.3,15.6,41.2
44485.78,27460.31,-101.7,-14.6,11.8,52.8
25358.40,30227.44,-95.5,-13.6,11.9,41.2
28187.47,30340.14,-91.8,-15.3,14.9,54.4
29349.15,25327.30,-89.2,-15.5,8.2,52.4
28228.46,24096.08,-88.0,-17.4,4.9,75.2
19132.45,24130.42,-86.3,-12.9,14.9,55.6
30536.87,39587.74,-83.6,-13.4,20.6,57.2
19986.51,17520.71,-80.1,-11.7,19.1,33.6
39028.52,35016.93,-89.9,-13.4,18.9,71.2
17763.20,32765.33,-90.8,-18.1,15.9,92.4
34468.50,37058.75,-100.2,-19.5,10.5,95.2
33215.52,32057.94,-106.3,-19.3,6.8,88.4
35561.31,46665.54,-95.4,-15.4,17.7,74.0
30531.27,51562.07,-105.6,-14.8,15.1,67.6
49753.90,55581.66,-107.9,-17.1,12.8,81.2
50071.34,60586.38,-105.7,-15.7,13.6,73.6
57755.18,51310.80,-105.6,-13.8,13.8,70.0
53926.86,0.00,-120.2,-8.2,19.7,64.0
20684.22,3311.57,-104.2,-10.4,21.4,26.4
,48805.45,-102.9,-11.7,20.8,41.6
6379.94,49313.15,-106.1,-12.5,17.5,48.9
52276.90,53592.22,-103.9,-10.1,15.7,50.8
49292.20,53877.01,-104.1,-12.3,17.3,50.0
50841.06,57167.17,-102.8,-10.3,19.3,47.2
57703.29,56589.18,-102.2,-12.0,19.7,48.4
53994.70,56103.58,-94.0,-12.1,19.6,43.2
53922.61,56807.70,-100.5,-11.6,21.0,48.8
26883.67,61100.33,-101.8,-10.9,18.7,47.2
84822.32,59677.22,-101.6,-12.1,19.7,50.0
31270.40,40696.05,-103.8,-10.8,18.9,32.0
84096.72,31851.47,-103.8,-11.8,17.7,28.0
19062.40,34530.05,-104.5,-11.7,16.9,30.7
46189.27,34857.52,-107.5,-12.7,14.3,38.4
19140.80,37313.09,-108.2,-13.1,11.9,33.6
34563.21,36510.14,-111.2,-13.3,9.4,46.0
43963.96,22377.37,-106.9,-13.0,10.2,38.0
,0.00,-125.1,-10.0,9.4,
,0.00,-117.8,-11.4,8.1,16.0
,0.00,-118.6,-14.6,5.6,4.0
,0.00,-89.8,-15.6,3.2,
,0.00,-129.8,-14.4,3.5,
,0.60,-110.8,-10.1,10.4,4.0
,3.59,-106.6,-8.0,9.5,4.0
,0.12,-107.0,-7.1,15.1,4.0
,0.00,-119.2,-6.9,14.5,4.0
,0.00,-99.7,-7.9,11.0,4.0
