POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
4.110000134,-9.300000191,-69.19999695,1,-11.39999962,-6.099999905,4,5,109.5,-106,-22,-10.19999981,-11.80000019,-70.40000153,-73.90000153,37.70000076,30,220,243,262,298,1.309999943,15.30000019,68,438
3.910000086,-8,-74.59999847,2,0.699999988,5.900000095,1,9,123,-106,-22,-9.300000191,-12.19999981,-75.59999847,-78.19999695,32.5,0,802,802,568,569,1.100000024,7,21,275
2.789999962,-10.80000019,-78.80000305,3,-3.200000048,-0.200000003,4,7,123,-106,-22,-13.39999962,-16,-81.59999847,-84.09999847,32.90000153,0,726,726,615,615,1.529999971,5.800000191,20,322
4.309999943,-8.100000381,-69,2,8.600000381,8.399999619,0,3,123,-106,-22,-9.800000191,-10.60000038,-71.30000305,-68.69999695,25,0,440,440,289,289,1.460000038,8.5,22,244
4.25,-5.900000095,-69.09999847,1,-4.5,2.099999905,5,5,123,-106,-22,-6.199999809,-11.60000038,-69.30000305,-78,40.70000076,0,210,210,289,289,2.329999924,10.10000038,25,187
4.260000229,-4.800000191,-64.09999847,2,6.199999809,9.199999809,0,6,123,-106,-22,-7,-8.800000191,-66.19999695,-68.59999847,31.20000076,1,210,210,321,323,4.96999979,9.699999809,23,245
4.300000191,-3.599999905,-69.09999847,1,6.5,10.89999962,1,6,123,-106,-22,-3.599999905,-14.89999962,-69.19999695,-79.5,16.70000076,1,210,210,321,323,4.96999979,17.10000038,94,527
4.300000191,-4.300000191,-75.19999695,2,7.800000191,9.300000191,1,3,123,-106,-22,-4.699999809,-12.39999962,-75.69999695,-81.59999847,23.60000038,0,3877,3878,799,799,1.370000005,5.5,10,206
3.630000114,-7.5,-66,1,10.60000038,14.39999962,1,2,128,-106,-22,-7.5,-12.10000038,-66,-69.69999695,29.10000038,3,986,987,193,196,4.849999905,32.79999924,70,148
3.529999971,-5.400000095,-63.59999847,2,13.60000038,14.89999962,1,1,128,-106,-22,-6.5,-12.10000038,-65.09999847,-69.69999695,28.5,3,986,987,193,196,4.849999905,21.5,50,187
